Product name,Description,Colours,Price,Sale Price,Discount,Product Link
Nike Mercurial Vapor 13 Club Neymar Jr. TF,Artificial-Turf Football Shoe,1 Colour,"₹5,495","₹4,397",20%,https://www.nike.com/in/t/mercurial-vapor-13-club-neymar-jr-tf-artificial-football-shoe-GQ87sR/AT8000-104
Nike Air Max 200,Women's Shoe,1 Colour,"₹9,995","₹5,997",40%,https://www.nike.com/in/t/air-max-200-shoe-mrjnN5/CI3867-001
Air Jordan 14 Retro,Shoe,1 Colour,"₹17,995","₹14,397",20%,https://www.nike.com/in/t/air-jordan-14-retro-shoe-G7BqkW/487471-003
Nike Air Streak Lite,Men's Shoe,1 Colour,"₹8,995","₹7,197",20%,https://www.nike.com/in/t/air-streak-lite-shoe-7JMz8b/CD4387-002
Nike Blazer Low,Men's Shoe,1 Colour,"₹6,995","₹5,597",20%,https://www.nike.com/in/t/blazer-low-shoe-FRdCCk/CZ1089-100
Air Jordan 11 Retro Low,Men's Shoe,1 Colour,"₹16,995","₹11,897",30%,https://www.nike.com/in/t/air-jordan-11-retro-low-shoe-Xnln0p/528895-003
Nike Air Max 97 On Air Jasmine Lasode,Shoe,1 Colour,"₹16,995","₹13,597",20%,https://www.nike.com/in/t/air-max-97-on-air-jasmine-lasode-shoe-P4kRVC/CI1504-100
Nike Air Max 2090,Women's Shoe,1 Colour,"₹11,995","₹8,397",30%,https://www.nike.com/in/t/air-max-2090-shoe-pFw0CK/CW4286-100
Jordan Jumpman Classics,Men's Windwear Jacket,1 Colour,"₹5,495","₹3,297",40%,https://www.nike.com/in/t/jordan-jumpman-classics-windwear-jacket-1rhHCT/CT9368-011
Nike Air Zoom SuperRep,Men's HIIT Class Shoe,1 Colour,"₹9,995","₹7,997",20%,https://www.nike.com/in/t/air-zoom-superrep-hiit-class-shoe-4VjdKB/CD3460-443
Nike Sportswear,Men's T-Shirt,1 Colour,"₹1,695","₹1,187",30%,https://www.nike.com/in/t/sportswear-t-shirt-fq1t2k/CT6591-010
Nike Sportswear,Men's T-Shirt,1 Colour,"₹1,995","₹1,597",20%,https://www.nike.com/in/t/sportswear-t-shirt-w9CHRW/CU6929-100
Nike Sportswear,Women's Romper,2 Colours,"₹3,695","₹2,957",20%,https://www.nike.com/in/t/sportswear-romper-24sw1v/CJ2292-010
Nike Flex,Men's Woven Training Shorts,1 Colour,"₹1,795","₹1,437",20%,https://www.nike.com/in/t/flex-woven-training-shorts-x2zSvp/927527-010
Nike Zoom Pegasus Turbo 2,Women's Running Shoe,2 Colours,"₹15,995","₹9,597",40%,https://www.nike.com/in/t/zoom-pegasus-turbo-2-running-shoe-sQMJVQ/AT8242-301
Nike Sportswear,Men's T-Shirt,2 Colours,"₹1,695","₹1,187",30%,https://www.nike.com/in/t/sportswear-t-shirt-ntDhhX/CT6885-100
Nike Sportswear,Women's T-Shirt,1 Colour,"₹1,995","₹1,597",20%,https://www.nike.com/in/t/sportswear-t-shirt-gdPF6N/CT8915-436
Portland Thorns F.C. 2020 Stadium Away,Women's Football Shirt,1 Colour,"₹4,695","₹3,287",30%,https://www.nike.com/in/t/portland-thorns-fc-2020-stadium-away-football-shirt-j0DMWg/CD2452-101
Nike Max 90 Cot,Baby Bootie,1 Colour,"₹2,995","₹2,097",30%,https://www.nike.com/in/t/max-90-cot-bootie-B2k6zs/CI0424-104
Nike Dri-FIT Trophy,Older Kids' (Boys') Training Shorts,1 Colour,"₹1,095",₹877,20%,https://www.nike.com/in/t/dri-fit-trophy-older-training-shorts-NW5p5v/939655-010
Nike Alpha,Women's High-Support Sports Bra,1 Colour,"₹2,795","₹2,237",20%,https://www.nike.com/in/t/alpha-high-support-sports-bra-62CvPl/AJ0844-623
Nike Sportswear,Men's Swoosh T-Shirt,2 Colours,"₹1,995","₹1,597",20%,https://www.nike.com/in/t/sportswear-swoosh-t-shirt-c94PDZ/CW0314-010
Nike MX-720-818,Men's Shoe,1 Colour,"₹15,995","₹12,797",20%,https://www.nike.com/in/t/mx-720-818-shoe-WsKqWW/CW7475-001
Nike Drop-Type,Men's Shoe,4 Colours,"₹5,995","₹4,797",20%,https://www.nike.com/in/t/drop-type-shoe-1fZrf5/CQ0989-103
Freak 1 Employee of the Month,Older Kids' Basketball Shoe,1 Colour,"₹7,495","₹5,247",30%,https://www.nike.com/in/t/freak-1-employee-of-month-older-basketball-shoe-65JQs9/CU1487-001
Nike Dri-FIT,Men's Tapered Training Trousers,1 Colour,"₹3,295","₹2,637",20%,https://www.nike.com/in/t/dri-fit-tapered-training-trousers-1snwmG/CU6776-451
Kyrie Flytrap 3 EP,Basketball Shoe,1 Colour,"₹6,495","₹5,197",20%,https://www.nike.com/in/t/kyrie-flytrap-3-ep-basketball-shoe-0qb5vw/CD0191-008
Nike Vista Lite,Women's Shoe,1 Colour,"₹7,995","₹6,397",20%,https://www.nike.com/in/t/vista-lite-shoe-m10k0k/CI0905-102
Nike Yoga Luxe,Women's Infinalon Cropped Tank,2 Colours,"₹2,795","₹2,237",20%,https://www.nike.com/in/t/yoga-luxe-infinalon-cropped-tank-cRqJjN/CJ3666-569
Nike Tiempo Legend 8 Academy IC,Indoor/Court Football Shoe,1 Colour,"₹6,495","₹4,547",30%,https://www.nike.com/in/t/tiempo-legend-8-academy-ic-indoor-court-football-shoe-fdZTh0/AT6099-606
Nike Instacool,Older Kids' (Girls') Training Top,1 Colour,"₹2,495","₹1,997",20%,https://www.nike.com/in/t/instacool-older-training-top-9VX5Jv/CJ7691-664
Nike Air Max 90,Men's Shoe,1 Colour,"₹13,995","₹8,397",40%,https://www.nike.com/in/t/air-max-90-shoe-F4XzR7/CU0675-300
Nike Air Max 200,Men's Shoe,1 Colour,"₹9,995","₹5,997",40%,https://www.nike.com/in/t/air-max-200-shoe-3Cssr7/CI3865-400
Nike Mercurial Superfly 7 Academy MDS TF,Artificial-Turf Football Shoe,1 Colour,"₹8,995","₹6,297",30%,https://www.nike.com/in/t/mercurial-superfly-7-academy-mds-tf-artificial-football-shoe-WNJLxr/BQ5435-703
LeBron 17 Low Tune Squad,Basketball Shoe,2 Colours,"₹13,995","₹9,797",30%,https://www.nike.com/in/t/lebron-17-low-tune-squad-basketball-shoe-kFcJdF/CD5007-100
Zoom Freak 1 'Employee of the Month',Basketball Shoe,1 Colour,"₹9,995","₹6,997",30%,https://www.nike.com/in/t/zoom-freak-1-employee-of-month-basketball-shoe-H14P6b/CD4962-001
Jordan Legacy AJ11,Men's Printed Shorts,1 Colour,"₹2,795","₹2,237",20%,https://www.nike.com/in/t/jordan-legacy-aj11-printed-shorts-rcCKj4/CW0840-100
Nike Air Max 720,Women's Shoe,1 Colour,"₹15,995","₹11,197",30%,https://www.nike.com/in/t/air-max-720-shoe-Mj6TKz/CI3868-001
Nike Sportswear,Men's T-Shirt,2 Colours,"₹1,695","₹1,357",20%,https://www.nike.com/in/t/sportswear-t-shirt-f7X65n/CT6528-871
Nike Dri-FIT Victory,Women's Printed Golf Polo,2 Colours,"₹2,195","₹1,317",40%,https://www.nike.com/in/t/dri-fit-victory-printed-golf-polo-tndG1d/BV0220-010
Nike Quest 2,Men's Running Shoe,2 Colours,"₹5,995","₹4,197",30%,https://www.nike.com/in/t/quest-2-running-shoe-Rk7JBT/CI3787-001
Nike Flight,Basketball T-Shirt,1 Colour,"₹1,995","₹1,597",20%,https://www.nike.com/in/t/flight-basketball-t-shirt-Cd7Lv4/CD1315-492
Nike Joyride Run Flyknit,Women's Running Shoe,2 Colours,"₹14,995","₹10,497",30%,https://www.nike.com/in/t/joyride-run-flyknit-running-shoe-c68bBX/AQ2731-001
Nike Yoga,Women's Trousers,1 Colour,"₹3,695","₹2,217",40%,https://www.nike.com/in/t/yoga-trousers-bsVbBP/CJ3828-050
NikeCourt Air Zoom Vapor X,Women's Hard-Court Tennis Shoe,1 Colour,"₹14,995","₹11,997",20%,https://www.nike.com/in/t/nikecourt-air-zoom-vapor-hard-court-tennis-shoe-WKstk0/AA8027-406
Nike Air Max 200,Older Kids' Shoe,1 Colour,"₹7,995","₹5,597",30%,https://www.nike.com/in/t/air-max-200-older-shoe-KscS2x/CT9632-100
Nike Sportswear Heritage Windrunner,Men's Woven Jacket,4 Colours,"₹5,495","₹4,397",20%,https://www.nike.com/in/t/sportswear-heritage-windrunner-woven-jacket-6qtSTg/CJ4359-100
Nike x Undercover React,Boot,2 Colours,"₹16,995","₹8,497",50%,https://www.nike.com/in/t/undercover-react-boot-727MRT/CJ6971-200
Nike Renew Ride,Women's Running Shoe,1 Colour,"₹5,995","₹4,797",20%,https://www.nike.com/in/t/renew-ride-running-shoe-HPz0x5/CD0314-003
Nike Air Max 98 SE,Women's Shoe,2 Colours,"₹15,995","₹11,197",30%,https://www.nike.com/in/t/air-max-98-se-shoe-wJ5CtT/CI7379-600
Nike Swoosh Icon Clash,Women's Medium-Support Sports Bra,2 Colours,"₹2,095","₹1,677",20%,https://www.nike.com/in/t/swoosh-icon-clash-support-sports-bra-0nfd1m/CV9504-010
Nike Mercurial Vapor 13 Academy MDS TF,Artificial-Turf Football Shoe,1 Colour,"₹7,495","₹5,247",30%,https://www.nike.com/in/t/mercurial-vapor-13-academy-mds-tf-artificial-football-shoe-hMZgFP/CJ1306-703
Nike Air Zoom Pegasus 36,Women's Running Shoe,1 Colour,"₹9,995","₹7,997",20%,https://www.nike.com/in/t/air-zoom-pegasus-36-running-shoe-dsS2Jx/AQ2210-012
Nike Joyride Run Flyknit,Men's Running Shoe,3 Colours,"₹14,995","₹11,997",20%,https://www.nike.com/in/t/joyride-run-flyknit-running-shoe-sqfqGQ/AQ2730-401
Nike Epic Phantom React Flyknit,Men's Running Shoe,1 Colour,"₹12,995","₹9,097",30%,https://www.nike.com/in/t/epic-phantom-react-flyknit-running-shoe-J4msqR/BV0417-002
Nike Air Max Dia,Women's Shoe,2 Colours,"₹8,995","₹7,197",20%,https://www.nike.com/in/t/air-max-dia-shoe-QkQnHs/CJ0636-500
