Stay Name,Stay Type,Stay Size,Amenities,Price,Rating,num of reviews,link
"Entire 1 BHK,Couple friendly, 1 km from Forum Mall",Entire flat in Bengaluru,3 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Washing machine - Lift - Self check-in,"Rs.1,350",4.50,4,https://www.airbnb.co.in/rooms/40956584?previous_page_section_name=1000&federated_search_id=0345bd33-738e-4016-8667-6eb1b544a396
"Home sweet home,CoupleFriendly,next to Koramangala",Entire flat in Bengaluru,3 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Washing machine - Lift - Self check-in,"Rs.1,350",4.58,12,https://www.airbnb.co.in/rooms/41050951?previous_page_section_name=1000&federated_search_id=0345bd33-738e-4016-8667-6eb1b544a396
Corner Stone,Entire flat in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Lift - Kitchen,Rs.750,4.63,16,https://www.airbnb.co.in/rooms/21643118?previous_page_section_name=1000&federated_search_id=0345bd33-738e-4016-8667-6eb1b544a396
PrivateStudio/GWifi-Kitchen-Near Manyata Tech Park,Entire flat in Bengaluru,4 guests - 1 bedroom - 2 beds - 2 bathrooms,Wifi - Washing machine - Lift - Self check-in,"Rs.1,223",4.65,141,https://www.airbnb.co.in/rooms/19406549?previous_page_section_name=1000&federated_search_id=0345bd33-738e-4016-8667-6eb1b544a396
Apartment bathed in Sunshine 4 - TLBW Group,Entire flat in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Kitchen - Free parking,Rs.993,4.65,20,https://www.airbnb.co.in/rooms/37614752?previous_page_section_name=1000&federated_search_id=0345bd33-738e-4016-8667-6eb1b544a396
HelloWorld Nagwara | Hebbal | Manyata Tech Park -1,Private room in Bengaluru,2 guests - 1 bedroom - 2 beds - 1 private bathroom,Wifi - Washing machine - Lift - Dryer,Rs.740,4.0,7,https://www.airbnb.co.in/rooms/40332475?previous_page_section_name=1000&federated_search_id=0345bd33-738e-4016-8667-6eb1b544a396
Bengaluru Home with a  Patio View - Well sanitized,Private room in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 private bathroom,Wifi - Washing machine - Lift - Self check-in,Rs.999,4.90,29,https://www.airbnb.co.in/rooms/24592567?previous_page_section_name=1000&federated_search_id=0345bd33-738e-4016-8667-6eb1b544a396
1 Bed apartment-Can't get central than this,Entire serviced apartment in Bengaluru,2 guests - 1 bedroom - 1 bed - 1.5 bathrooms,Wifi - Air conditioning - Kitchen,"Rs.1,600",4.66,30,https://www.airbnb.co.in/rooms/29497713?previous_page_section_name=1000&federated_search_id=0345bd33-738e-4016-8667-6eb1b544a396
Grace's Inn,Private room in Bengaluru,2 guests - 1 bedroom - 2 beds - 1 private bathroom,Wifi - Washing machine - Self check-in - Pets allowed,Rs.750,4.80,61,https://www.airbnb.co.in/rooms/27640066?previous_page_section_name=1000&federated_search_id=0345bd33-738e-4016-8667-6eb1b544a396
Private room - Terrace access - Couple Friendly,Private room in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 private bathroom,Wifi - Washing machine - Lift - Dryer,Rs.850,5.0,10,https://www.airbnb.co.in/rooms/39232591?previous_page_section_name=1000&federated_search_id=0345bd33-738e-4016-8667-6eb1b544a396
